company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Polar Logic,Bio/Health,Seed,US,Operator,0.44,0.747,0.59,0.505,0.41,42,0,9,0,50,6,2,3556971.08,6645.15,0.454,203044.92,74053.88,2.044,0.255,4,0.641,0.373,0.342,2,0.26,25.473,14,0,0,1,0,11860.28
Terra Grid,AI/ML,Seed,EU,Operator,0.497,0.75,0.526,0.32,0.384,37,0,18,1,9,20,1,8474419.97,14183.03,0.308,744572.6,61702.94,1.179,0.15,4,0.773,0.311,0.571,4,0.754,9.323,21,1,0,1,0,61560.34
Eco Pulse,Climate,Pre-Seed,UK,Visionary,0.801,0.489,0.581,0.436,0.474,24,0,1,0,12,3,1,3121895.13,2250.63,0.245,180069.76,37865.37,5.716,0.118,0,0.542,0.004,0.586,1,0.2,8.927,5,1,0,1,0,82082.51
Zen Cloud,DevTools,Seed,UK,Operator,0.577,0.694,0.373,0.52,0.348,32,0,18,1,17,12,0,3617454.33,20238.37,0.058,2045242.03,101884.5,7.29,0.152,2,0.543,0.01,0.338,3,0.56,16.284,7,0,0,1,0,50056.11
Flow Systems,SaaS,Pre-Seed,UK,Engineer,0.645,0.704,0.415,0.475,0.415,42,0,6,0,19,2,1,8000640.62,1450.99,0.458,382009.39,28119.21,3.523,0.043,4,0.541,0.44,0.603,2,0.484,7.51,5,1,0,0,1,109729.21
Nimbus Dynamics,Climate,Seed,US,Visionary,0.9,0.496,0.776,0.588,0.537,27,0,11,0,27,11,1,4271717.66,10351.33,0.226,317570.7,85295.21,3.036,0.01,2,0.511,0.217,0.907,4,0.457,18.09,14,1,0,1,0,45395.38
Terra Forge,Bio/Health,Seed,US,Operator,0.483,0.821,0.525,0.671,0.442,45,0,12,1,10,7,2,83603400.08,25539.49,0.326,262931.02,140658.63,1.407,0.182,1,0.4,0.133,0.135,3,0.232,28.332,20,1,0,0,1,1215674.84
Hyper OS,Hardware,Seed,Africa,Operator,0.522,0.757,0.379,0.654,0.38,29,0,13,0,11,7,1,15726441.05,6897.87,0.14,210377.5,84617.73,7.309,0.197,4,0.31,0.124,0.596,2,0.226,13.166,6,0,0,1,0,7568.52
Terra AI,Hardware,Pre-Seed,US,Visionary,0.83,0.586,0.556,0.498,0.446,35,0,10,1,23,9,1,26872157.35,0.0,0.227,329904.92,49656.88,20.0,0.178,3,0.671,0.206,0.432,2,0.474,13.68,13,1,0,1,0,0.0
Urban Pulse,Fintech,Seed,EU,Operator,0.518,0.729,0.541,0.584,0.509,21,0,12,0,35,11,1,9283490.03,18827.52,0.025,284527.06,103167.09,18.24,0.067,5,0.391,0.255,0.167,4,0.284,8.342,14,0,0,1,0,22574.06
Quantum Drive,AI/ML,Pre-Seed,LatAm,Engineer,0.6,0.738,0.363,0.468,0.441,33,0,4,1,18,6,2,38579649.39,9151.76,0.205,124534.03,44889.34,1.991,0.055,3,0.252,0.126,0.71,1,0.403,6.831,15,1,1,0,1,184145.68
Nimbus Forge,Bio/Health,Pre-Seed,EU,Visionary,0.774,0.548,0.55,0.521,0.549,36,0,5,0,48,3,0,10230138.86,5901.96,0.191,563011.65,97523.39,7.208,0.287,5,0.675,0.001,0.302,1,0.125,7.933,10,0,1,1,0,7855.72
Sigma Drive,Hardware,Pre-Seed,EU,Operator,0.393,0.763,0.614,0.401,0.483,34,1,11,1,27,6,0,18496139.53,13369.41,0.261,104015.97,26352.63,0.63,0.287,4,0.752,0.105,0.609,2,0.375,2.456,11,1,1,1,0,424650.19
Polar Forge,Hardware,Seed,India,Visionary,0.626,0.434,0.601,0.509,0.389,40,0,12,1,30,11,0,29747896.41,9612.83,0.059,2220088.72,63542.88,9.294,0.112,4,0.47,0.028,0.384,2,0.599,16.512,9,1,0,1,0,17121.75
Sigma Pulse,Hardware,Seed,MENA,Operator,0.531,0.839,0.528,0.524,0.38,30,0,10,1,25,18,0,17246044.6,15206.64,0.214,297496.81,131759.37,3.373,0.167,5,0.493,0.404,0.368,1,0.682,7.105,17,1,0,1,0,18896.42
Terra Logic,SaaS,Pre-Seed,UK,Engineer,0.633,0.729,0.427,0.501,0.476,28,0,6,1,16,2,0,12335658.56,0.0,0.385,90742.21,51099.08,20.0,0.251,5,0.049,0.681,0.235,1,0.575,6.166,16,0,0,1,0,0.0
Atlas Logic,AI/ML,Pre-Seed,EU,Engineer,0.556,0.86,0.473,0.546,0.339,31,0,10,1,19,2,1,11553174.46,7628.61,0.317,63140.13,1596.48,0.055,0.238,1,0.877,0.448,0.726,1,0.195,17.132,16,1,1,0,1,832817.81
Vertex Forge,Bio/Health,Seed,EU,Operator,0.429,0.803,0.562,0.506,0.284,41,0,8,1,27,4,1,6635420.92,15732.01,0.312,239316.33,132636.61,2.255,0.084,6,0.424,0.096,0.035,2,0.168,7.526,11,0,0,1,0,18391.34
Hyper OS,Fintech,Pre-Seed,US,Visionary,0.833,0.514,0.572,0.373,0.47,35,0,4,1,14,5,2,17461006.12,10829.55,0.098,70306.12,22735.56,1.78,0.194,4,0.1,0.073,0.532,1,0.194,15.179,7,0,0,1,0,13366.95
Terra Stack,Hardware,Seed,US,Engineer,0.569,0.613,0.504,0.668,0.389,41,1,12,0,20,9,2,16693821.43,12355.06,0.441,187570.45,100473.53,1.536,0.3,3,0.516,0.583,0.727,2,0.407,8.332,24,0,0,1,0,23536.99
Aero Cloud,Bio/Health,Pre-Seed,India,Visionary,1.0,0.383,0.597,0.539,0.346,25,0,14,0,13,2,0,13294016.76,11012.81,0.146,175894.73,40032.46,2.081,0.095,4,0.628,0.141,0.631,2,0.297,6.269,8,0,0,1,0,14479.53
Atlas OS,Bio/Health,Pre-Seed,US,Engineer,0.675,0.536,0.334,0.452,0.447,27,0,10,1,34,15,1,23650874.85,0.0,-0.344,132295.69,44596.9,20.0,0.093,5,0.515,0.332,0.197,2,0.469,10.698,15,0,0,1,0,0.0
Spark Systems,SaaS,Pre-Seed,US,Operator,0.496,0.681,0.534,0.654,0.421,40,1,8,0,5,2,2,14452842.63,14440.62,0.131,149412.23,92504.52,4.09,0.113,4,0.454,0.472,0.656,2,0.471,7.694,3,1,1,0,1,370594.73
Zen Analytics,Hardware,Seed,US,Operator,0.545,0.837,0.644,0.514,0.278,33,0,16,0,33,9,1,5665976.67,24769.49,0.044,920301.78,31774.32,2.426,0.036,4,0.241,0.239,0.474,1,0.231,6.705,8,1,0,1,0,34899.99
Flow Analytics,Hardware,Seed,India,Operator,0.471,0.79,0.589,0.523,0.503,45,0,13,1,17,14,1,37604010.39,5038.9,0.205,424013.78,36908.04,2.981,0.136,1,0.255,0.362,0.62,4,0.283,9.975,23,1,1,0,1,169438.37
Atlas Grid,Climate,Seed,EU,Visionary,0.706,0.484,0.662,0.445,0.317,28,0,12,1,8,2,0,54256758.11,10155.73,0.285,1044210.08,100193.76,2.887,0.286,3,0.737,0.381,0.452,3,0.348,7.609,6,0,0,1,0,11931.94
Nimbus Systems,Fintech,Pre-Seed,UK,Visionary,0.849,0.527,0.661,0.539,0.509,32,1,6,1,22,15,1,15412336.88,28247.12,0.094,67280.36,59191.62,1.859,0.257,3,0.309,0.24,0.231,1,0.317,11.552,20,0,0,1,0,33320.16
Zen Forge,DevTools,Pre-Seed,SEA,Visionary,0.921,0.405,0.682,0.331,0.463,33,0,5,0,1,2,0,6275198.47,27337.7,0.178,122698.91,30266.27,0.519,0.182,2,0.521,0.399,0.856,1,0.072,7.718,15,1,0,0,1,400645.34
Zen Pulse,Climate,Seed,US,Operator,0.409,0.712,0.519,0.465,0.392,41,0,10,0,31,8,1,4691970.51,14251.03,0.083,494578.6,70935.83,5.013,0.15,5,0.488,0.235,0.211,2,0.653,9.628,16,1,0,1,0,22956.52
Flow Cloud,Hardware,Seed,MENA,Salesperson,0.551,0.521,0.759,0.605,0.46,41,0,22,0,18,17,1,19812234.01,13036.02,0.097,65000.05,113690.39,7.53,0.194,1,0.31,0.097,0.509,2,0.294,10.568,16,1,0,1,0,27416.54
Eco Logic,Climate,Pre-Seed,US,Salesperson,0.582,0.471,0.646,0.465,0.568,34,0,5,0,4,5,1,3881287.58,2084.8,0.174,121925.24,42973.76,9.882,0.107,1,0.658,0.592,0.402,3,0.114,12.464,7,1,0,1,0,14038.19
Eco Grid,Bio/Health,Pre-Seed,US,Visionary,0.929,0.318,0.578,0.466,0.519,24,0,7,0,11,2,1,15833951.51,4250.98,0.223,432682.32,1651.77,0.145,0.196,5,0.265,0.387,0.42,1,0.171,7.342,2,0,0,1,0,8815.9
Polar Systems,DevTools,Pre-Seed,EU,Visionary,0.708,0.546,0.68,0.401,0.454,35,0,8,1,16,6,0,23410641.79,31800.81,0.3,51445.53,20275.55,0.177,0.043,1,0.779,0.428,0.317,1,0.577,11.373,7,0,1,1,0,150886.34
Zen Analytics,Climate,Seed,EU,Visionary,0.82,0.444,0.732,0.539,0.398,37,0,12,0,22,14,3,7214454.81,49.29,0.039,426949.06,93274.12,20.0,0.095,6,0.499,0.203,0.364,1,0.417,14.27,19,1,0,1,0,95.31
Zen Logic,Bio/Health,Pre-Seed,EU,Operator,0.66,0.886,0.558,0.527,0.261,20,0,9,0,14,2,1,9067195.48,43.39,-0.186,174244.79,23525.89,20.0,0.228,4,0.272,0.435,0.259,1,0.332,4.387,2,0,0,1,0,45.68
Terra Dynamics,DevTools,Pre-Seed,EU,Engineer,0.515,0.741,0.405,0.367,0.434,29,0,4,0,13,3,1,13105836.67,24007.69,0.07,114123.01,42958.7,2.141,0.205,3,0.663,0.026,0.625,1,0.213,10.13,1,0,0,1,0,44798.63
Quantum OS,AI/ML,Pre-Seed,US,Salesperson,0.591,0.539,0.909,0.503,0.474,34,0,7,1,18,2,0,28032217.41,15098.78,0.083,138135.29,39456.73,2.626,0.089,8,0.4,0.263,0.392,2,0.063,2.805,9,0,0,1,0,15427.4
Vertex Stack,DevTools,Seed,India,Engineer,0.63,0.623,0.454,0.446,0.393,30,0,15,0,29,12,1,5253221.5,0.0,-0.265,1446989.17,111583.0,20.0,0.028,1,0.538,0.189,0.361,1,0.723,6.825,16,1,0,1,0,0.0
Hyper Logic,Bio/Health,Seed,LatAm,Visionary,0.713,0.459,0.675,0.497,0.546,36,0,12,1,33,18,3,7023141.81,8215.77,0.264,344053.88,40277.13,1.55,0.165,3,0.393,0.691,0.384,2,0.391,38.33,18,1,0,1,0,71867.52
Eco AI,Hardware,Pre-Seed,India,Visionary,0.829,0.477,0.761,0.459,0.453,31,0,4,0,28,7,2,10566541.55,0.0,-0.032,97218.64,94531.58,20.0,0.011,1,0.496,0.18,0.0,2,0.481,4.24,12,0,0,1,0,0.0
Eco Drive,Fintech,Seed,India,Operator,0.48,0.756,0.617,0.632,0.433,28,0,5,1,29,15,0,18747289.11,3357.87,0.207,165544.1,72962.57,8.743,0.183,3,0.496,0.043,0.237,2,0.078,13.188,21,0,0,1,0,4585.18
Atlas Drive,Hardware,Pre-Seed,SEA,Engineer,0.734,0.685,0.483,0.513,0.488,43,0,8,0,18,8,0,3806370.41,7293.59,-0.046,81299.75,41218.86,20.0,0.249,2,0.428,0.218,0.431,1,0.408,8.755,17,0,0,1,0,8433.29
Quantum Grid,AI/ML,Pre-Seed,LatAm,Operator,0.534,0.793,0.459,0.395,0.406,39,0,13,1,26,8,0,27213064.74,15779.65,0.258,135934.66,27628.07,0.566,0.209,4,0.731,0.137,0.462,1,0.0,9.677,12,1,0,0,1,749370.81
Quantum Dynamics,Bio/Health,Pre-Seed,UK,Operator,0.433,0.798,0.482,0.464,0.468,30,0,12,1,8,15,0,4340288.29,0.0,0.197,261898.42,42512.39,20.0,0.153,3,0.526,0.137,0.531,2,0.364,10.118,18,0,0,1,0,0.0
Terra AI,Hardware,Seed,US,Engineer,0.668,0.606,0.449,0.466,0.353,32,0,15,1,25,14,2,4855727.12,24872.13,0.085,541760.57,68805.51,2.712,0.199,5,0.291,0.183,0.355,2,0.456,6.152,17,1,1,1,0,52968.12
Aero AI,DevTools,Seed,India,Visionary,0.841,0.543,0.741,0.473,0.554,35,0,12,1,17,11,1,267378620.83,25007.49,0.205,368208.18,24780.72,0.403,0.289,3,0.617,0.407,0.749,3,0.296,25.564,15,1,0,1,0,38243.23
Nova Systems,Fintech,Seed,US,Visionary,0.897,0.468,0.64,0.531,0.341,38,0,7,1,26,12,1,16043274.02,9145.44,0.076,179997.35,93331.83,11.227,0.221,4,0.397,0.19,0.532,3,0.435,7.836,11,0,0,1,0,9881.45
Hyper Forge,DevTools,Seed,US,Visionary,0.659,0.441,0.608,0.343,0.422,23,0,17,1,25,20,2,27412176.13,27193.23,0.223,456783.34,89851.54,1.236,0.342,0,0.507,0.327,0.564,3,0.567,7.146,29,0,0,1,0,36159.54
Terra Grid,Fintech,Seed,EU,Engineer,0.781,0.724,0.437,0.511,0.396,35,0,16,0,32,11,2,2750035.73,19948.6,0.386,224886.06,116170.47,1.257,0.148,6,0.475,0.207,0.356,3,0.501,7.637,17,1,0,1,0,25318.59
Quantum Logic,Fintech,Seed,UK,Operator,0.603,0.894,0.489,0.386,0.406,37,0,10,0,41,4,1,12396291.52,48578.7,0.025,451606.9,110479.36,7.672,0.234,1,0.343,0.07,0.554,3,0.609,15.719,21,1,0,0,1,347563.8
Nova Works,Bio/Health,Seed,EU,Engineer,0.592,0.671,0.447,0.432,0.348,32,0,11,1,24,20,3,11745905.06,12977.95,0.132,304040.85,113998.77,5.537,0.232,2,0.659,0.006,0.543,2,0.358,6.599,29,1,1,0,1,530811.97
Vertex Analytics,DevTools,Pre-Seed,India,Operator,0.413,0.766,0.523,0.515,0.393,35,0,11,1,2,7,2,29504366.11,39789.82,0.153,204217.61,7483.6,0.102,0.275,2,0.479,0.125,0.415,1,0.324,5.813,19,1,0,0,1,1172457.01
Atlas Bio,Bio/Health,Pre-Seed,US,Operator,0.509,0.789,0.403,0.522,0.309,28,0,4,0,20,13,0,13523231.11,0.0,0.165,269630.83,13079.7,20.0,0.186,4,0.562,0.473,0.328,2,0.416,5.734,16,1,0,1,0,0.0
Aero OS,DevTools,Seed,US,Visionary,0.746,0.456,0.56,0.446,0.52,31,0,9,1,25,10,1,7248800.16,4124.97,0.149,1129788.71,89416.02,12.164,0.101,5,0.544,0.09,0.289,4,0.34,6.6,15,1,1,0,1,62552.01
Nova Drive,AI/ML,Pre-Seed,SEA,Visionary,0.737,0.409,0.798,0.427,0.536,33,0,2,1,14,4,1,18296714.44,9944.59,-0.022,106891.58,58457.99,20.0,0.285,2,0.646,0.346,0.214,1,0.049,4.529,7,1,0,1,0,58820.25
Hyper AI,SaaS,Seed,US,Visionary,0.826,0.514,0.746,0.495,0.53,39,0,16,1,2,7,0,27275000.81,0.0,-0.028,439614.42,44060.21,20.0,0.2,6,0.37,0.191,0.63,3,0.182,12.198,9,1,0,1,0,0.0
Flow Forge,AI/ML,Seed,US,Engineer,0.656,0.691,0.505,0.401,0.397,31,0,17,1,20,12,1,11468664.93,7155.32,0.222,1116459.63,102690.87,5.381,0.177,3,0.633,0.175,0.487,3,0.435,13.48,23,1,1,0,1,288637.59
Terra Analytics,Fintech,Pre-Seed,US,Operator,0.505,0.666,0.457,0.457,0.463,45,0,11,0,15,9,0,10443173.65,9277.7,-0.019,97034.09,11471.07,20.0,0.162,4,0.466,0.044,0.455,1,0.446,12.826,9,1,0,1,0,13083.67
Nimbus Logic,Bio/Health,Seed,UK,Visionary,0.686,0.588,0.584,0.524,0.513,42,0,17,1,16,16,1,12508692.91,19349.45,0.247,304394.57,33085.84,0.576,0.085,3,0.656,0.47,0.516,1,0.706,13.018,20,1,0,1,0,37405.0
Sigma Works,Fintech,Pre-Seed,US,Salesperson,0.751,0.515,0.863,0.541,0.5,40,0,7,1,18,2,0,27318752.84,22045.22,-0.189,372531.7,22722.21,20.0,0.096,7,0.392,0.19,0.591,2,0.112,3.453,13,1,0,0,1,22045.22
Urban Logic,DevTools,Seed,US,Operator,0.439,0.757,0.643,0.498,0.305,29,0,5,0,39,22,2,9396104.13,9812.36,0.246,639005.1,53017.58,1.828,0.161,2,0.733,0.535,0.115,3,0.392,8.505,29,1,0,0,1,443931.53
Nimbus Stack,Climate,Pre-Seed,US,Salesperson,0.606,0.517,0.787,0.603,0.413,33,0,10,0,38,13,1,14291006.75,0.0,0.226,473962.49,84204.1,20.0,0.152,3,0.74,0.121,0.664,1,0.219,8.078,20,0,0,1,0,0.0
Vertex Drive,Fintech,Seed,US,Visionary,0.838,0.505,0.684,0.506,0.402,35,0,10,0,20,16,2,18613948.88,54137.97,0.041,146294.13,99581.24,3.718,0.193,6,0.294,0.051,0.288,2,0.279,18.358,16,1,0,1,0,115485.5
Nimbus Logic,Bio/Health,Seed,EU,Visionary,0.764,0.583,0.627,0.473,0.305,32,0,7,0,39,16,2,11805941.29,0.0,0.056,204657.79,45820.34,20.0,0.181,5,0.529,0.37,0.0,4,0.49,30.444,25,0,0,1,0,0.0
Nova AI,Climate,Seed,US,Operator,0.701,0.593,0.438,0.398,0.355,34,0,18,0,53,12,1,7460379.91,19721.72,0.163,419839.25,120519.42,3.123,0.153,1,0.513,0.189,0.081,4,0.274,4.618,10,1,0,1,0,42842.57
Terra Analytics,Climate,Pre-Seed,EU,Operator,0.603,0.819,0.491,0.473,0.385,41,0,12,0,19,10,1,10647079.3,14265.92,0.265,375393.44,26470.47,0.584,0.364,2,0.504,0.616,0.171,2,0.336,13.686,10,1,0,1,0,47424.81
Spark OS,Fintech,Pre-Seed,LatAm,Visionary,0.889,0.407,0.616,0.552,0.588,33,0,11,0,22,13,2,18892590.34,0.0,0.022,211245.06,37002.54,20.0,0.11,7,0.514,0.231,0.374,1,0.122,7.15,21,0,0,1,0,0.0
Atlas Drive,Climate,Pre-Seed,MENA,Operator,0.571,0.746,0.523,0.465,0.415,27,0,9,1,24,4,1,12603719.77,10402.37,0.308,116967.5,39695.83,1.032,0.132,1,0.445,0.122,0.326,1,0.425,4.722,6,0,0,1,0,20505.38
Hyper Pulse,AI/ML,Pre-Seed,EU,Operator,0.527,0.811,0.594,0.533,0.456,31,0,13,1,20,6,0,22204401.58,418.14,0.103,141397.17,28591.81,20.0,0.236,2,0.322,0.114,0.113,2,0.235,10.824,17,1,0,0,1,3008.91
Sigma Analytics,Climate,Seed,US,Visionary,0.783,0.507,0.612,0.49,0.384,32,0,19,1,31,10,1,13949054.37,20245.22,0.104,350148.91,72774.58,2.875,0.171,5,0.265,0.262,0.491,2,0.481,21.405,13,1,1,1,0,68889.49
Aero Analytics,DevTools,Seed,US,Operator,0.536,0.798,0.673,0.679,0.461,43,0,11,0,27,18,0,3270011.99,0.0,0.326,938950.22,126799.5,20.0,0.21,5,0.37,0.435,0.499,3,0.408,13.189,21,0,0,1,0,0.0
Terra Grid,AI/ML,Pre-Seed,US,Engineer,0.496,0.641,0.362,0.534,0.41,26,0,2,1,1,10,1,5458088.81,22383.8,-0.115,144477.72,44912.13,20.0,0.117,4,0.625,0.33,0.547,1,0.562,9.678,11,0,0,1,0,24533.19
Aero Analytics,Bio/Health,Pre-Seed,EU,Visionary,0.701,0.513,0.678,0.427,0.545,34,0,9,0,10,12,2,15292471.77,4816.2,0.243,1280791.06,8891.88,0.633,0.162,3,0.299,0.085,0.548,1,0.523,7.677,11,1,0,1,0,6897.77
Urban Stack,Fintech,Seed,US,Operator,0.462,0.708,0.554,0.556,0.468,33,0,10,0,44,11,1,47545085.83,15576.21,0.214,480052.13,90031.87,2.247,0.159,4,0.307,0.607,0.661,2,0.517,21.273,16,0,0,1,0,21057.16
Eco Logic,Climate,Pre-Seed,US,Engineer,0.501,0.823,0.373,0.46,0.361,29,0,12,1,17,6,1,9984950.88,12306.98,-0.035,797442.76,12957.46,20.0,0.159,3,0.538,0.046,0.691,1,0.092,8.097,20,1,1,0,1,83637.19
Atlas Pulse,Climate,Seed,EU,Operator,0.479,0.759,0.558,0.475,0.356,40,0,10,1,36,13,2,1599902.31,1156.13,0.148,169486.73,59881.14,20.0,0.164,4,0.521,0.368,0.358,3,0.319,7.654,21,0,0,1,0,1156.13
Aero Stack,DevTools,Pre-Seed,SEA,Salesperson,0.668,0.387,0.884,0.512,0.449,26,0,6,1,1,6,0,19944924.75,0.0,-0.213,320860.33,45493.91,20.0,0.122,3,0.427,0.29,0.464,2,0.572,4.981,12,0,0,1,0,0.0
Aero Drive,DevTools,Pre-Seed,US,Operator,0.552,0.646,0.411,0.551,0.238,33,0,11,0,8,4,1,31886269.16,0.0,0.201,85760.89,31752.91,20.0,0.107,5,0.326,0.09,0.071,1,0.24,11.042,16,0,0,1,0,0.0
Atlas Bio,Hardware,Seed,US,Operator,0.523,0.785,0.513,0.629,0.471,39,0,21,1,20,9,2,22857518.63,14595.3,-0.06,786655.54,70324.98,20.0,0.13,3,0.341,0.111,0.32,4,0.443,7.657,13,0,0,1,0,27550.24
Eco Forge,Bio/Health,Seed,India,Engineer,0.564,0.679,0.343,0.638,0.44,29,0,10,1,36,15,2,4926273.86,5854.18,0.291,304005.75,76668.78,3.748,0.309,1,0.834,0.346,0.429,1,0.437,11.4,13,1,0,1,0,21955.96
Polar Labs,Fintech,Pre-Seed,EU,Operator,0.528,0.714,0.574,0.509,0.385,39,0,9,0,15,2,1,10832565.78,24877.33,0.255,123885.87,39060.66,0.513,0.121,2,0.469,0.01,0.769,1,0.144,10.912,2,0,0,1,0,27612.25
Urban Cloud,Hardware,Pre-Seed,EU,Visionary,0.997,0.522,0.732,0.368,0.358,35,0,10,1,31,5,1,5100728.25,15361.97,0.165,262244.63,116749.61,3.839,0.111,3,0.336,0.247,0.662,2,0.075,9.006,16,1,0,0,1,264426.59
Flow OS,DevTools,Pre-Seed,UK,Engineer,0.618,0.733,0.405,0.573,0.421,39,0,5,0,11,10,0,36375839.41,26558.13,0.306,124491.33,62825.67,0.645,0.057,1,0.878,0.623,0.402,2,0.701,15.032,14,1,1,0,1,1553821.93
Vertex Cloud,DevTools,Pre-Seed,EU,Operator,0.462,0.811,0.519,0.383,0.347,46,0,13,1,24,4,0,12689540.56,6794.11,0.122,171553.86,32999.83,3.322,0.207,1,0.636,0.186,0.51,1,0.309,7.446,14,1,1,1,0,35549.01
Terra OS,AI/ML,Seed,LatAm,Operator,0.61,0.718,0.6,0.513,0.418,24,0,15,1,34,8,2,8288315.43,42460.12,0.109,522887.47,124939.75,2.242,0.045,1,0.52,0.547,0.684,2,0.31,4.37,15,0,0,1,0,61419.92
Nimbus Logic,Hardware,Seed,US,Engineer,0.601,0.603,0.292,0.501,0.485,31,0,6,0,26,11,2,5613754.53,13184.06,0.261,327323.68,152008.25,3.679,0.065,3,0.369,0.042,0.164,2,0.412,4.171,15,0,0,1,0,20156.11
Eco Drive,DevTools,Seed,EU,Visionary,0.872,0.489,0.515,0.531,0.457,23,0,13,1,21,6,2,1089601.97,25660.44,0.304,335824.32,112229.4,1.198,0.216,5,0.713,0.147,0.283,2,0.536,7.884,6,1,0,1,0,367344.05
Nimbus Grid,AI/ML,Seed,UK,Engineer,0.577,0.728,0.465,0.423,0.516,29,0,7,0,19,8,1,5598194.48,36576.75,0.304,632953.96,69852.47,0.523,0.088,3,0.467,0.1,0.744,1,0.371,7.636,19,1,1,0,1,1405631.29
Spark Forge,Bio/Health,Seed,EU,Engineer,0.542,0.571,0.27,0.562,0.426,31,0,6,0,30,10,2,36162400.42,20165.16,0.024,408501.69,50257.64,8.583,0.112,7,0.463,0.277,0.767,4,0.611,11.772,10,1,0,1,0,36485.42
Vertex AI,SaaS,Seed,US,Engineer,0.78,0.835,0.303,0.562,0.462,31,0,9,1,21,5,1,110994709.19,9081.97,-0.001,989442.54,96868.08,20.0,0.142,7,0.509,0.187,0.713,3,0.488,10.03,5,0,0,1,0,13753.99
Vertex Systems,Bio/Health,Seed,SEA,Visionary,0.737,0.383,0.749,0.544,0.441,30,0,11,0,31,10,0,16481176.17,12000.49,0.013,509660.12,6066.34,3.25,0.02,2,0.536,0.299,0.477,3,0.503,7.601,10,1,1,0,1,47373.47
Nova Dynamics,Hardware,Seed,US,Salesperson,0.579,0.566,0.84,0.628,0.529,34,1,9,0,24,7,2,25319702.11,194.69,0.221,472036.3,65874.63,20.0,0.173,3,0.513,0.271,0.7,2,0.12,8.948,6,0,1,1,0,477.15
Terra AI,Hardware,Pre-Seed,EU,Engineer,0.708,0.556,0.392,0.472,0.513,38,0,9,1,1,5,0,9687999.28,468.15,0.117,408086.08,19026.4,20.0,0.264,2,0.258,0.069,0.466,1,0.367,7.407,8,1,0,1,0,764.63
Aero Forge,Climate,Pre-Seed,LatAm,Engineer,0.582,0.82,0.535,0.583,0.427,36,0,5,0,10,2,0,21965747.23,12347.71,-0.032,632932.35,63095.58,20.0,0.117,3,0.523,0.243,0.414,1,0.559,10.313,1,0,0,1,0,14184.0
Aero Stack,DevTools,Seed,US,Operator,0.463,0.917,0.56,0.792,0.482,38,0,17,1,25,14,2,8575847.81,50019.93,0.269,473244.09,129248.46,0.801,0.062,1,0.701,0.069,0.447,2,0.592,22.435,31,1,0,0,1,3196749.9
Aero Analytics,Hardware,Seed,UK,Operator,0.645,0.886,0.514,0.498,0.446,28,0,8,0,23,12,0,12914339.21,10240.92,0.236,269984.91,69857.86,2.411,0.161,3,0.308,0.489,0.587,2,0.191,14.054,15,0,0,1,0,16715.75
Vertex Works,DevTools,Pre-Seed,LatAm,Operator,0.569,0.624,0.571,0.531,0.395,39,0,13,0,13,2,2,11639999.71,0.0,-0.046,25852.29,26072.39,20.0,0.15,3,0.669,0.186,0.78,3,0.227,6.602,7,0,0,1,0,0.0
Eco OS,DevTools,Pre-Seed,India,Visionary,0.882,0.503,0.632,0.475,0.468,34,0,6,1,7,2,0,7992223.61,0.0,0.182,268027.65,11436.24,20.0,0.226,3,0.532,0.301,0.324,2,0.191,14.484,14,0,0,1,0,0.0
Vertex Cloud,Bio/Health,Seed,UK,Operator,0.768,0.853,0.437,0.52,0.419,42,0,11,1,35,5,2,5195459.2,10296.77,0.37,664312.23,117914.52,2.581,0.01,1,0.586,0.145,0.212,4,0.406,3.714,2,0,0,1,0,15644.5
Spark Dynamics,SaaS,Seed,US,Operator,0.552,0.645,0.582,0.526,0.415,25,0,12,1,48,14,2,8173705.2,15043.35,-0.066,359175.35,67374.73,20.0,0.155,3,0.378,0.148,0.231,4,0.259,6.507,17,1,0,1,0,15043.35
Flow Bio,AI/ML,Seed,US,Visionary,0.902,0.488,0.608,0.47,0.563,33,0,10,1,31,8,2,19031459.28,5809.12,0.065,682048.66,101558.85,20.0,0.01,6,0.722,0.367,0.694,2,0.761,8.071,3,0,0,1,0,7193.39
Zen Drive,DevTools,Seed,US,Operator,0.599,0.703,0.457,0.635,0.339,20,0,10,1,26,15,1,1290519.8,29152.61,0.194,585495.28,118875.38,1.749,0.094,4,0.253,0.423,0.278,2,0.231,26.199,14,0,0,1,0,32028.74
Hyper Dynamics,Hardware,Seed,US,Visionary,0.65,0.513,0.576,0.553,0.246,36,0,20,1,26,10,1,13700643.26,13843.88,0.019,696470.14,75610.24,20.0,0.01,3,0.385,0.19,0.76,4,0.372,16.079,20,0,0,1,0,28109.11
