company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Eco Pulse,Hardware,Seed,EU,Salesperson,0.606,0.48,0.89,0.58,0.582,28,0,12,1,45,13,2,28415624.82,23423.16,0.257,343601.15,50579.77,0.699,0.181,3,0.418,0.165,0.42,4,0.641,8.106,17,1,1,0,1,718020.57
Eco OS,Bio/Health,Seed,EU,Salesperson,0.606,0.494,0.893,0.52,0.596,28,0,11,0,42,5,2,5223941.37,5963.66,0.072,149753.83,76497.55,14.922,0.243,3,0.377,0.208,0.194,3,0.796,12.165,6,0,0,1,0,6373.61
Quantum Bio,Climate,Seed,EU,Visionary,0.703,0.44,0.67,0.496,0.48,32,0,7,0,11,13,1,46753775.22,22357.11,0.393,798452.6,87125.31,0.826,0.075,3,0.485,0.336,0.615,1,0.48,25.724,18,1,1,0,1,1237498.09
Urban Logic,Bio/Health,Seed,EU,Salesperson,0.473,0.525,0.911,0.541,0.389,33,0,4,0,15,10,1,26937747.16,7988.81,-0.103,498009.84,121043.01,20.0,0.122,2,0.18,0.591,0.412,2,0.343,10.436,11,1,0,1,0,8574.57
Urban Labs,Bio/Health,Seed,SEA,Visionary,0.751,0.404,0.621,0.429,0.333,32,0,6,0,31,5,2,21040430.49,11760.1,0.231,347100.13,118391.0,3.624,0.148,2,0.381,0.386,0.071,2,0.594,13.639,6,0,0,1,0,13115.53
Terra Logic,SaaS,Pre-Seed,SEA,Salesperson,0.495,0.434,0.854,0.402,0.572,35,0,1,0,13,7,0,13460769.43,4254.36,0.074,266535.81,36648.22,9.706,0.351,2,0.65,0.203,0.55,1,0.332,27.364,9,1,1,0,1,58982.76
Polar Works,Bio/Health,Pre-Seed,India,Engineer,0.632,0.684,0.301,0.412,0.36,34,0,3,0,22,8,1,35395900.81,11059.1,-0.042,163258.43,1158.29,20.0,0.271,0,0.505,0.202,0.242,2,0.13,5.366,9,1,0,1,0,45481.97
Vertex Systems,Climate,Seed,US,Engineer,0.714,0.787,0.474,0.39,0.453,31,0,20,0,29,16,3,8595944.6,12151.52,0.114,470681.89,42597.44,2.553,0.141,5,0.617,0.294,0.0,2,0.328,27.101,21,1,0,1,0,14329.02
Urban Bio,Bio/Health,Seed,EU,Visionary,0.804,0.388,0.763,0.52,0.443,39,0,10,1,32,4,3,11505802.4,8469.57,0.221,346270.88,68216.49,3.031,0.156,3,0.39,0.001,0.425,3,0.308,12.562,5,1,0,1,0,55616.05
Sigma Cloud,SaaS,Seed,UK,Visionary,0.696,0.606,0.522,0.549,0.521,33,0,6,1,53,15,1,27006147.99,431.59,0.223,409166.84,98317.37,20.0,0.232,4,0.574,0.047,0.131,2,0.587,9.451,20,1,0,1,0,682.01
Aero Cloud,DevTools,Pre-Seed,UK,Visionary,0.858,0.387,0.652,0.581,0.349,31,0,10,1,27,7,0,4388547.25,0.0,0.026,158214.41,65705.14,20.0,0.164,3,0.527,0.04,0.577,3,0.263,5.494,9,1,0,1,0,0.0
Polar Logic,DevTools,Pre-Seed,US,Operator,0.542,0.764,0.5,0.371,0.293,22,0,5,0,21,8,0,6607470.76,13362.59,-0.022,224275.75,69505.07,20.0,0.1,4,0.368,0.43,0.407,2,0.119,4.613,9,1,0,1,0,39098.47
Sigma Bio,Climate,Seed,UK,Engineer,0.76,0.607,0.4,0.354,0.389,30,0,12,1,29,10,1,6830706.71,21500.41,-0.185,1510303.72,42603.64,20.0,0.137,8,0.422,0.315,0.138,3,0.765,7.485,10,0,0,1,0,21500.41
Nova Pulse,Hardware,Pre-Seed,US,Engineer,0.649,0.72,0.397,0.474,0.286,28,0,8,1,8,10,1,12721012.92,0.0,-0.249,97125.44,84127.29,20.0,0.077,5,0.579,0.417,0.496,2,0.518,4.835,11,0,0,1,0,0.0
Atlas Dynamics,Fintech,Seed,EU,Operator,0.606,0.815,0.494,0.499,0.459,44,0,9,0,12,2,3,6366391.85,15361.8,0.161,481421.09,109025.0,3.667,0.162,3,0.487,0.297,0.526,1,0.239,28.145,2,1,0,1,0,123122.69
Eco Grid,Bio/Health,Seed,US,Salesperson,0.559,0.436,0.671,0.682,0.41,40,1,14,1,24,21,2,9367663.29,17243.45,-0.041,235154.6,18666.03,20.0,0.172,1,0.48,0.124,0.509,3,0.596,9.403,25,1,0,0,1,164188.64
Polar Cloud,Fintech,Pre-Seed,LatAm,Operator,0.549,0.679,0.55,0.518,0.31,27,0,8,0,31,3,1,27378132.3,14682.13,-0.174,107197.91,49562.38,20.0,0.217,1,0.287,0.04,0.517,2,0.354,6.844,3,0,0,1,0,15427.05
Quantum Labs,SaaS,Seed,SEA,Visionary,0.857,0.556,0.566,0.555,0.481,25,1,8,1,40,17,3,52064054.66,33139.05,-0.017,1111447.39,48115.68,20.0,0.077,5,0.572,0.207,0.742,2,0.293,3.433,22,1,0,0,1,411425.13
Aero Analytics,Bio/Health,Seed,India,Engineer,0.723,0.8,0.307,0.406,0.43,41,0,8,0,40,6,2,15476425.08,0.0,0.26,646909.8,77798.17,20.0,0.175,2,0.558,0.193,0.705,4,0.462,6.113,8,0,0,1,0,0.0
Vertex Logic,DevTools,Pre-Seed,India,Visionary,0.793,0.504,0.745,0.485,0.494,29,0,1,1,11,6,0,10689392.03,5131.58,0.341,631884.6,8219.26,0.392,0.13,0,0.443,0.171,0.49,2,0.257,6.576,8,1,0,1,0,17625.89
Nimbus Labs,Climate,Seed,UK,Visionary,0.809,0.504,0.709,0.63,0.352,31,0,13,0,24,20,2,6948727.72,3314.49,-0.123,160311.52,84259.35,20.0,0.202,3,0.515,0.093,0.559,2,0.68,10.185,21,1,0,1,0,10742.29
Sigma Grid,SaaS,Seed,EU,Engineer,0.59,0.667,0.379,0.6,0.406,33,0,14,1,21,9,2,6673366.11,33743.29,0.089,390665.48,82204.42,2.293,0.158,4,0.327,0.234,0.536,4,0.53,11.215,10,1,0,1,0,62100.27
Spark AI,AI/ML,Seed,US,Visionary,0.776,0.503,0.539,0.49,0.401,33,0,10,1,19,11,2,8035429.52,28227.28,0.245,469358.8,47711.25,0.575,0.18,1,0.555,0.062,0.136,1,0.184,17.914,15,0,0,0,0,1287359.27
Vertex Works,DevTools,Seed,US,Salesperson,0.581,0.481,0.767,0.59,0.456,29,0,15,1,20,12,2,18111435.63,24647.92,-0.028,574877.77,68011.27,20.0,0.206,4,0.57,0.224,0.514,4,0.622,26.31,13,1,0,1,0,73280.53
Spark Dynamics,SaaS,Pre-Seed,US,Visionary,0.864,0.6,0.662,0.545,0.495,29,0,8,1,15,6,2,12886086.75,9256.39,0.16,104053.09,53951.06,3.027,0.245,2,0.696,0.241,0.696,2,0.27,21.994,8,0,0,1,0,11869.95
Eco Grid,Hardware,Seed,US,Visionary,0.733,0.414,0.586,0.381,0.409,33,0,8,1,27,11,1,7328816.2,7847.61,-0.057,210958.81,96759.15,20.0,0.177,3,0.129,0.318,0.427,2,0.596,13.859,12,1,0,1,0,12270.66
Aero Works,Hardware,Seed,US,Operator,0.421,0.75,0.439,0.55,0.381,40,0,19,1,29,9,2,12315729.06,0.0,0.349,662163.75,75516.11,20.0,0.301,9,0.365,0.523,0.182,2,0.724,9.54,12,0,0,1,0,0.0
Sigma Pulse,Fintech,Pre-Seed,EU,Operator,0.476,0.697,0.55,0.508,0.344,32,0,11,0,15,7,0,19206336.53,0.0,0.123,274697.22,4279.14,20.0,0.181,8,0.715,0.208,0.194,3,0.257,16.065,8,1,0,1,0,0.0
Eco Logic,SaaS,Pre-Seed,India,Operator,0.625,0.827,0.402,0.479,0.442,30,0,11,1,24,2,1,27707729.44,11023.53,0.199,246837.23,16936.34,0.643,0.237,6,0.428,0.27,0.49,1,0.379,6.267,2,1,0,1,0,12312.68
Flow Labs,SaaS,Pre-Seed,UK,Visionary,0.823,0.613,0.713,0.512,0.36,29,0,11,1,26,10,0,24989594.54,0.0,-0.127,95625.78,35856.02,20.0,0.079,4,0.303,0.202,0.597,1,0.128,6.107,11,0,0,1,0,0.0
Eco Analytics,DevTools,Seed,EU,Engineer,0.663,0.738,0.505,0.486,0.523,31,0,12,1,25,16,0,16582894.95,4952.67,-0.049,497369.9,23340.51,20.0,0.201,2,0.452,0.031,0.375,4,0.302,10.928,19,0,0,1,0,5475.03
Zen Analytics,Climate,Seed,MENA,Salesperson,0.678,0.505,0.731,0.467,0.41,35,0,5,0,46,8,2,9950278.73,0.0,0.006,542333.34,40623.06,20.0,0.288,2,0.511,0.239,0.192,1,0.531,16.278,10,0,0,1,0,0.0
Aero Logic,Fintech,Seed,SEA,Visionary,0.691,0.486,0.79,0.605,0.51,31,0,9,0,36,9,1,10438213.59,23360.99,0.366,903865.37,114627.84,1.118,0.099,1,0.405,0.122,0.872,1,0.412,37.768,13,1,1,0,1,1289522.4
Spark OS,SaaS,Pre-Seed,US,Operator,0.477,0.845,0.602,0.64,0.388,40,0,11,1,13,16,0,1757497.91,17963.19,0.231,100222.7,74874.18,1.507,0.076,2,0.566,0.143,0.363,2,0.31,7.568,20,1,0,0,1,576254.77
Nimbus Works,Fintech,Seed,US,Visionary,0.746,0.556,0.712,0.523,0.383,42,1,7,0,14,15,1,4096933.36,7845.62,0.144,328254.39,72841.92,5.384,0.178,3,0.225,0.199,0.341,2,0.2,11.748,17,0,0,1,0,11498.66
Urban Forge,Climate,Pre-Seed,UK,Visionary,0.724,0.409,0.563,0.321,0.47,39,0,11,0,12,7,1,21243201.3,0.0,0.25,224192.69,22370.73,20.0,0.24,5,0.535,0.223,0.129,3,0.344,13.897,9,0,0,1,0,0.0
Atlas OS,AI/ML,Seed,US,Operator,0.559,0.855,0.651,0.444,0.371,34,0,14,1,13,11,2,19363598.42,18000.2,0.272,435291.35,79072.27,1.347,0.125,1,0.722,0.18,0.227,2,0.574,9.373,15,1,1,1,0,44315.4
Nimbus Dynamics,Hardware,Seed,EU,Engineer,0.795,0.686,0.388,0.467,0.409,32,0,12,0,33,5,1,9050749.8,20694.85,0.316,241379.69,87560.68,1.115,0.122,3,0.274,0.36,0.749,3,0.488,23.373,6,1,0,1,0,90255.52
Nova Pulse,DevTools,Pre-Seed,LatAm,Operator,0.499,0.797,0.655,0.449,0.43,32,0,10,1,4,10,0,9729582.65,13724.78,0.138,159635.63,25199.28,1.112,0.078,3,0.466,0.524,0.253,2,0.304,8.865,12,0,0,1,0,19967.42
Sigma AI,Fintech,Pre-Seed,EU,Engineer,0.741,0.6,0.46,0.444,0.465,27,0,10,1,17,15,0,19054718.08,5592.49,0.076,86928.55,5470.67,1.076,0.276,3,0.465,0.088,0.367,3,0.347,5.959,19,1,0,1,0,34758.6
Hyper Stack,Bio/Health,Pre-Seed,India,Visionary,0.977,0.444,0.57,0.307,0.455,46,0,9,0,22,6,0,14774104.26,0.0,0.103,471412.54,81653.12,20.0,0.152,9,0.475,0.007,0.457,2,0.678,13.268,6,0,0,1,0,0.0
Nova Analytics,Climate,Pre-Seed,UK,Visionary,0.788,0.463,0.737,0.428,0.368,39,0,20,0,13,6,1,4643666.6,0.0,-0.086,80060.83,60804.32,20.0,0.184,2,0.581,0.027,0.255,2,0.22,13.038,6,0,0,1,0,0.0
Urban OS,Climate,Pre-Seed,EU,Engineer,0.562,0.674,0.322,0.467,0.449,25,0,6,0,22,8,0,16596611.52,5686.2,0.207,221019.42,41299.74,2.929,0.071,5,0.624,0.197,0.44,1,0.165,4.003,9,0,0,1,0,7695.2
Polar Forge,AI/ML,Seed,UK,Visionary,0.775,0.382,0.616,0.393,0.478,30,0,9,1,22,8,3,4328980.41,20754.68,0.248,442902.74,90122.34,1.457,0.092,4,0.779,0.324,0.28,1,0.379,16.912,11,1,0,1,0,59302.96
Nimbus Bio,AI/ML,Pre-Seed,US,Operator,0.471,0.828,0.48,0.521,0.437,38,0,5,1,18,5,0,20262516.51,0.0,0.051,49207.79,6224.31,20.0,0.222,3,0.608,0.347,0.086,2,0.066,24.442,6,0,0,1,0,0.0
Atlas Grid,DevTools,Seed,SEA,Operator,0.531,0.637,0.58,0.507,0.322,32,0,17,1,36,17,2,6259071.24,21590.22,0.342,1736362.37,78217.44,0.883,0.072,3,0.341,0.048,0.349,3,0.128,12.207,23,0,0,1,0,72017.29
Spark Grid,SaaS,Pre-Seed,US,Operator,0.496,0.662,0.463,0.625,0.373,33,0,6,1,11,2,2,14164047.56,35359.64,0.09,88007.51,28395.5,0.745,0.113,5,0.499,0.182,0.119,1,0.572,6.514,2,1,0,1,0,115165.79
Nimbus OS,Climate,Seed,EU,Visionary,0.801,0.672,0.74,0.509,0.522,34,0,10,1,26,20,1,18537140.73,9966.5,0.218,345807.88,76605.5,2.944,0.219,2,0.735,0.387,0.39,2,0.439,21.534,27,1,0,0,1,425762.94
Terra Logic,SaaS,Seed,US,Operator,0.544,0.884,0.553,0.506,0.299,29,0,17,1,15,9,1,9542452.48,21803.17,0.256,505934.62,47173.15,0.703,0.243,2,0.341,0.413,0.368,2,0.184,4.001,12,1,1,0,1,1026664.1
Vertex Dynamics,DevTools,Seed,US,Operator,0.608,0.719,0.529,0.681,0.416,30,0,11,1,37,17,1,6719612.28,27026.14,0.151,1990889.51,85495.71,1.75,0.01,3,0.479,0.194,0.328,2,0.612,8.18,21,1,0,1,0,43583.32
Sigma Drive,Hardware,Seed,US,Visionary,0.789,0.495,0.524,0.399,0.473,25,0,7,0,11,6,1,6458956.5,8421.48,0.143,1177545.34,35807.67,2.473,0.13,2,0.517,0.013,0.321,3,0.107,7.596,7,1,1,1,0,23882.83
Nova Cloud,Fintech,Pre-Seed,US,Salesperson,0.492,0.616,0.878,0.429,0.535,31,0,10,1,1,3,1,14507539.17,0.0,0.325,201195.93,60992.05,20.0,0.075,4,0.45,0.286,0.51,3,0.181,9.323,4,0,0,1,0,0.0
Nova Systems,DevTools,Pre-Seed,EU,Visionary,0.6,0.454,0.617,0.461,0.491,35,0,13,1,8,8,1,35167574.8,22088.55,0.118,124190.73,15109.21,0.483,0.178,0,0.654,0.125,0.322,1,0.212,9.464,11,1,1,0,1,924348.47
Zen Systems,Climate,Seed,EU,Operator,0.593,0.669,0.435,0.593,0.427,32,1,9,1,33,11,1,51467142.99,0.0,-0.091,388919.68,39007.9,20.0,0.226,1,0.802,0.118,0.215,3,0.276,14.546,13,0,0,1,0,0.0
Zen Grid,Hardware,Seed,EU,Engineer,0.558,0.773,0.395,0.406,0.42,33,0,16,0,31,16,1,7125186.81,14226.43,0.282,431298.97,47532.07,0.987,0.239,4,0.716,0.566,0.475,1,0.646,5.842,22,0,0,1,0,32332.85
Aero OS,AI/ML,Pre-Seed,US,Engineer,0.718,0.78,0.401,0.48,0.495,37,0,6,1,17,4,0,16481413.2,10500.81,0.171,84596.96,23010.47,1.07,0.052,2,0.417,0.12,0.281,3,0.005,5.041,4,1,0,1,0,14744.56
Eco Forge,Climate,Seed,SEA,Visionary,0.939,0.531,0.636,0.473,0.541,36,0,9,0,41,2,0,36378742.75,10426.56,0.1,731103.15,85812.29,6.852,0.199,3,0.577,0.185,0.526,3,0.361,15.58,2,0,0,1,0,10679.14
Eco OS,Bio/Health,Seed,EU,Visionary,0.707,0.526,0.571,0.447,0.437,31,0,12,0,41,22,1,5032852.59,11744.04,0.136,1395983.93,62718.25,3.284,0.303,3,0.536,0.122,0.171,2,0.697,17.437,27,0,0,1,0,26474.24
Eco Systems,SaaS,Seed,EU,Operator,0.577,0.704,0.548,0.597,0.449,33,0,11,0,59,11,1,10350695.2,21831.6,0.154,390939.8,111780.41,2.765,0.232,2,0.463,0.399,0.714,2,0.671,8.619,14,0,0,1,0,28894.61
Aero Pulse,SaaS,Pre-Seed,US,Operator,0.688,0.723,0.55,0.738,0.309,39,0,12,1,13,2,1,28837337.85,3606.9,0.226,373629.28,85097.19,8.695,0.164,5,0.48,0.355,0.56,3,0.54,7.272,2,0,0,1,0,6514.37
Nova Stack,Hardware,Seed,India,Operator,0.365,0.872,0.485,0.465,0.405,42,0,8,0,28,17,1,5370374.15,15903.35,0.186,603824.63,114211.85,3.215,0.171,3,0.488,0.368,0.207,2,0.42,12.539,21,0,0,1,0,20741.64
Nimbus Systems,Climate,Seed,EU,Visionary,0.908,0.613,0.7,0.458,0.449,37,0,15,1,24,9,1,31461709.8,10176.03,0.198,1660474.44,87322.73,3.606,0.112,4,0.414,0.126,0.774,3,0.142,15.285,12,0,0,1,0,18384.76
Atlas Systems,AI/ML,Pre-Seed,UK,Engineer,0.656,0.525,0.536,0.483,0.429,39,0,11,0,6,8,2,9660021.49,0.0,-0.005,623090.55,20054.02,20.0,0.01,3,0.58,0.016,0.366,1,0.316,6.338,10,1,0,1,0,0.0
Zen Bio,Fintech,Seed,India,Engineer,0.487,0.712,0.433,0.609,0.273,39,0,19,0,39,2,1,21124233.96,27454.46,-0.154,350606.57,82204.27,20.0,0.111,3,0.392,0.134,0.631,3,0.582,14.407,2,1,1,1,0,38174.63
Flow Labs,Climate,Seed,US,Engineer,0.582,0.767,0.436,0.371,0.431,47,0,18,0,51,18,1,29987339.57,5384.84,0.353,737199.6,74031.32,3.248,0.125,1,0.611,0.12,0.505,2,0.444,20.796,25,1,0,1,0,6670.64
Hyper Grid,DevTools,Pre-Seed,EU,Visionary,0.834,0.505,0.54,0.349,0.328,36,0,3,0,12,11,0,4859074.65,0.0,0.201,90505.31,32739.55,20.0,0.207,5,0.442,0.305,0.549,1,0.226,6.173,13,0,0,1,0,0.0
Spark Pulse,Fintech,Pre-Seed,India,Operator,0.465,0.789,0.587,0.512,0.468,42,0,13,0,27,5,0,5968328.9,9923.05,0.285,142128.41,74320.39,2.192,0.213,2,0.481,0.131,0.171,1,0.22,8.296,6,0,0,1,0,11180.62
Flow OS,AI/ML,Pre-Seed,EU,Salesperson,0.575,0.418,0.834,0.468,0.424,35,0,10,1,6,8,1,8850614.23,642.01,0.331,429475.34,69879.74,20.0,0.067,6,0.442,0.352,0.254,1,0.029,16.688,10,0,0,1,0,1240.64
Eco AI,DevTools,Pre-Seed,EU,Operator,0.656,0.634,0.625,0.712,0.298,35,0,9,1,6,2,2,24068568.08,0.0,0.196,130963.44,64553.67,20.0,0.118,2,0.384,0.294,0.557,1,0.315,9.663,2,0,0,1,0,0.0
Sigma Works,Hardware,Pre-Seed,US,Salesperson,0.579,0.588,0.521,0.609,0.515,43,0,15,0,24,16,0,6876387.1,6247.3,0.143,77952.75,104189.95,9.739,0.197,3,0.498,0.375,0.426,3,0.0,2.091,20,0,1,1,0,7050.75
Urban Dynamics,AI/ML,Seed,LatAm,Visionary,0.896,0.518,0.742,0.415,0.52,33,0,14,1,23,16,1,8793404.91,15894.69,-0.077,290639.19,105710.73,20.0,0.175,4,0.376,0.11,0.183,3,0.621,43.538,18,0,0,1,0,16527.21
Vertex Stack,Hardware,Seed,US,Salesperson,0.617,0.563,0.687,0.623,0.357,24,0,9,0,23,10,1,10979166.75,8595.46,0.137,255010.48,85938.43,6.06,0.149,1,0.469,0.406,0.211,2,0.462,25.895,12,0,0,1,0,9607.03
Terra Grid,Fintech,Seed,India,Visionary,0.855,0.672,0.563,0.392,0.498,29,0,7,1,24,14,0,8127810.88,8008.14,0.154,251909.01,97371.66,6.559,0.166,3,0.447,0.426,0.572,2,0.611,9.67,17,1,1,1,0,37035.57
Eco Logic,Bio/Health,Pre-Seed,India,Engineer,0.612,0.569,0.376,0.534,0.452,33,0,1,0,16,8,2,6442542.64,5639.62,0.215,158197.56,52436.55,3.6,0.093,1,0.313,0.161,0.584,2,0.078,3.648,11,1,1,0,1,107466.31
Quantum Systems,Fintech,Pre-Seed,US,Salesperson,0.588,0.475,0.806,0.656,0.461,26,0,7,1,21,2,1,25763042.39,20686.21,0.296,247098.62,105860.4,1.439,0.105,3,0.805,0.289,0.91,1,0.084,20.272,2,0,0,1,0,55350.6
Nova Cloud,DevTools,Pre-Seed,UK,Visionary,0.671,0.4,0.688,0.4,0.539,31,0,1,1,22,2,0,13095061.32,8711.55,0.357,101587.75,33386.02,0.894,0.348,2,0.549,0.109,0.202,3,0.0,5.948,2,0,0,1,0,11819.94
Aero OS,Bio/Health,Seed,EU,Visionary,0.618,0.394,0.704,0.521,0.543,29,1,10,1,23,2,2,1390723.28,22812.82,0.196,325710.03,64513.97,1.204,0.219,3,0.404,0.217,0.71,4,0.401,9.952,2,1,1,1,0,195235.59
Spark Drive,Fintech,Seed,US,Operator,0.51,0.625,0.49,0.538,0.378,32,0,18,0,23,11,1,18932877.51,17139.89,0.22,196069.1,60120.18,1.328,0.359,5,0.524,0.196,0.241,3,0.429,22.652,14,0,0,1,0,18056.41
Atlas Stack,Bio/Health,Pre-Seed,LatAm,Engineer,0.65,0.624,0.343,0.562,0.421,36,0,9,0,1,2,1,3422007.24,0.0,0.167,211122.87,15474.19,20.0,0.123,4,0.345,0.142,0.352,2,0.505,8.214,2,0,0,1,0,0.0
Aero Logic,Bio/Health,Seed,India,Visionary,0.901,0.589,0.748,0.441,0.447,37,0,14,0,49,10,2,33973586.95,18103.11,0.133,489810.18,98207.57,3.388,0.156,0,0.438,0.381,0.777,2,0.226,6.825,13,0,0,1,0,20377.9
Spark Analytics,Bio/Health,Seed,US,Salesperson,0.741,0.524,0.87,0.485,0.554,38,0,12,0,28,20,1,3387729.21,18171.63,0.019,621471.9,43424.89,10.655,0.296,2,0.242,0.435,0.14,1,0.296,6.577,25,1,0,1,0,41226.82
Terra AI,DevTools,Seed,UK,Engineer,0.703,0.723,0.353,0.492,0.293,27,0,15,1,41,18,0,18006061.36,16645.12,0.022,419178.64,69379.6,15.916,0.142,4,0.808,0.357,0.322,2,0.468,5.259,22,1,1,1,0,164068.36
Zen Cloud,DevTools,Pre-Seed,UK,Engineer,0.693,0.657,0.422,0.522,0.392,37,0,6,1,9,10,1,11591420.51,9432.06,0.297,227454.03,98081.64,2.918,0.149,3,0.866,0.3,0.506,1,0.205,12.21,14,1,1,1,0,215950.73
Urban Bio,Fintech,Seed,US,Visionary,0.663,0.506,0.768,0.406,0.509,27,0,7,1,39,12,0,23968170.02,34470.2,0.091,540193.96,99394.36,2.632,0.086,3,0.31,0.372,0.726,3,0.773,11.741,15,0,0,1,0,38489.09
Polar AI,SaaS,Seed,US,Operator,0.594,0.733,0.494,0.6,0.316,42,0,17,0,25,7,1,7866690.07,22161.77,0.14,363908.32,44342.87,1.193,0.23,4,0.393,0.576,0.425,1,0.105,7.027,9,0,0,1,0,66908.39
Spark Cloud,SaaS,Seed,SEA,Operator,0.557,0.812,0.375,0.509,0.506,27,0,9,1,51,11,2,11641617.1,38559.15,0.052,1232407.77,84132.48,3.52,0.064,4,0.672,0.404,0.282,2,0.048,15.011,14,1,0,1,0,86513.27
Hyper Works,Bio/Health,Pre-Seed,UK,Operator,0.621,0.779,0.461,0.564,0.23,26,0,14,1,12,10,2,4840792.99,17539.18,0.016,60326.2,1980.9,0.592,0.157,1,0.432,0.389,0.251,4,0.56,5.796,13,1,1,0,1,349010.55
Urban Logic,SaaS,Seed,US,Operator,0.364,0.868,0.604,0.541,0.373,29,0,16,1,27,11,0,13026261.89,24806.79,0.056,2051710.9,98302.27,5.907,0.139,3,0.609,0.579,0.636,2,0.145,14.508,13,1,1,0,1,220245.53
Nimbus OS,AI/ML,Pre-Seed,LatAm,Visionary,0.739,0.511,0.712,0.582,0.55,36,0,9,1,14,2,1,15356409.52,17777.43,-0.145,216061.35,30207.4,20.0,0.205,6,0.524,0.561,0.411,1,0.397,7.832,2,1,1,1,0,26223.6
Flow Cloud,Hardware,Pre-Seed,US,Visionary,0.816,0.45,0.567,0.539,0.631,32,0,12,1,8,8,2,15858225.52,5440.65,0.287,363311.21,27742.67,1.479,0.17,1,0.602,0.561,0.8,2,0.43,5.538,12,1,0,1,0,42552.82
Nova Stack,SaaS,Seed,LatAm,Engineer,0.599,0.69,0.343,0.439,0.309,36,0,10,1,12,11,1,26908921.77,15588.15,0.016,727950.96,103439.05,20.0,0.2,4,0.428,0.044,0.331,2,0.462,10.505,13,0,0,1,0,15977.22
Flow Forge,Climate,Seed,US,Engineer,0.694,0.695,0.441,0.411,0.414,30,0,6,0,34,17,2,13701116.35,6787.03,0.181,1526829.72,81568.14,5.521,0.132,5,0.364,0.131,0.417,3,0.551,13.846,20,1,0,1,0,25153.39
Sigma Drive,Hardware,Seed,US,Operator,0.555,0.831,0.599,0.497,0.366,37,0,10,1,31,13,1,14539182.54,15330.78,0.094,313812.13,101138.02,5.84,0.292,1,0.436,0.037,0.392,4,0.621,8.384,16,1,0,1,0,22551.03
Flow Forge,Hardware,Seed,EU,Operator,0.69,0.78,0.44,0.723,0.599,24,0,12,1,15,9,2,59284118.93,19983.51,0.097,354214.07,115169.91,4.962,0.178,6,0.633,0.154,0.131,2,0.446,7.124,11,0,0,1,0,23462.98
Zen Stack,SaaS,Seed,US,Operator,0.41,0.802,0.615,0.704,0.384,37,0,13,1,34,9,1,27952066.03,13402.91,-0.118,593406.24,56049.35,20.0,0.224,2,0.2,0.475,0.58,2,0.577,29.114,10,1,0,1,0,31190.32
Flow Cloud,Fintech,Pre-Seed,LatAm,Engineer,0.523,0.608,0.55,0.483,0.347,33,0,3,1,9,17,1,35475371.32,24529.02,0.203,82612.84,26367.61,0.441,0.204,4,0.315,0.037,0.611,1,0.366,5.703,20,0,0,1,0,28376.31
Urban Labs,Climate,Pre-Seed,India,Salesperson,0.501,0.408,0.787,0.499,0.389,41,0,10,0,37,2,1,6029686.85,5867.38,0.307,119289.14,7944.11,0.367,0.163,3,0.425,0.334,0.624,2,0.169,36.483,2,1,0,1,0,7338.85
Polar Grid,Hardware,Seed,US,Visionary,0.835,0.44,0.631,0.482,0.487,51,0,5,1,34,2,2,7410717.13,11319.22,-0.036,272542.71,80533.96,20.0,0.162,4,0.337,0.298,0.622,3,0.449,7.413,2,1,0,1,0,12387.64
Zen Bio,Fintech,Seed,EU,Engineer,0.609,0.705,0.412,0.383,0.396,42,0,16,1,16,13,2,17090205.05,30809.08,0.357,270451.54,103017.93,0.782,0.074,7,0.227,0.096,0.488,2,0.336,5.616,16,0,0,1,0,69315.98
Polar Bio,Climate,Seed,US,Salesperson,0.466,0.708,0.831,0.48,0.489,29,0,10,1,42,16,0,41578048.06,12407.27,0.036,809077.12,61195.59,11.264,0.262,1,0.321,0.282,0.406,3,0.392,12.231,19,0,0,1,0,15381.54
Nimbus Bio,AI/ML,Pre-Seed,LatAm,Visionary,0.824,0.44,0.71,0.446,0.574,26,0,7,1,12,2,1,14790751.16,2472.85,0.161,409380.17,43612.61,9.147,0.172,3,0.405,0.051,0.595,1,0.351,17.357,2,1,0,1,0,26715.28
Sigma Forge,Hardware,Seed,US,Operator,0.53,0.617,0.57,0.503,0.414,31,0,13,0,23,18,1,7693579.84,22556.74,0.037,348699.78,66963.37,6.767,0.206,1,0.296,0.183,0.495,2,0.533,21.921,22,1,0,0,1,270347.2
Hyper Systems,Bio/Health,Seed,US,Engineer,0.626,0.679,0.389,0.515,0.282,38,1,12,1,15,13,3,17444364.14,17202.62,0.084,597308.6,105702.72,6.092,0.077,2,0.3,0.044,0.784,3,0.532,14.673,16,1,1,1,0,270120.69
